"country","endemic_status","interview"
"Afghanistan","Endemic","Yes"
"Argentina","In-progress","No"
"Bangladesh","Endemic","Yes"
"Bhutan","In-progress","Yes"
"Botswana","Endemic","No"
"Brazil","In-progress","No"
"Brunei Darussalam","Rabies-free","No"
"Burkina Faso","Endemic","No"
"Cambodia","Endemic","No"
"Canada","Rabies-free","No"
"China","Endemic","No"
"Cote d'Ivoire","Endemic","Yes"
"Swaziland","Endemic","No"
"Gabon","Endemic","Yes"
"Ghana","Endemic","No"
"Guinea-Bissau","Endemic","No"
"Haiti","Endemic","Yes"
"India","Endemic","Yes"
"Indonesia","Endemic","Yes"
"Israel","In-progress","No"
"Kenya","Endemic","Yes"
"Kuwait","Rabies-free","No"
"Lao People's Democratic Republic","Endemic","No"
"Libya","Endemic","No"
"Malawi","Endemic","Yes"
"Mali","Endemic","Yes"
"Morocco","In-progress","No"
"Mozambique","Endemic","No"
"Namibia","Endemic","No"
"Nepal","Endemic","Yes"
"Nigeria","Endemic","No"
"Pakistan","Endemic","Yes"
"Peru","In-progress","No"
"Philippines","In-progress","Yes"
"Saudi Arabia","Endemic","No"
"Sierra Leone","Endemic","No"
"Singapore","Rabies-free","No"
"South Africa","In-progress","No"
"South Sudan","Endemic","Yes"
"Sri Lanka","In-progress","Yes"
"Sweden","Rabies-free","No"
"Taiwan","Rabies-free","No"
"Thailand","Endemic","No"
"Uganda","Endemic","Yes"
"United Republic of Tanzania","Endemic","Yes"
"United States of America","Rabies-free","No"
"Yemen","Endemic","Yes"
"Zambia","Endemic","No"
