"endemic_status","grouped_response","n"
"Endemic","Restrictions on staff movement",19
"In-progress","Restrictions on staff movement",5
"Rabies-free","Restrictions on staff movement",2
"Endemic","Difficult to adhere to COVID-19 guidelines",12
"In-progress","Difficult to adhere to COVID-19 guidelines",5
"Rabies-free","Difficult to adhere to COVID-19 guidelines",2
"Endemic","No/limited vaccines available",15
"In-progress","No/limited vaccines available",4
"Endemic","People afraid of leaving home/gathering",14
"In-progress","People afraid of leaving home/gathering",3
"Rabies-free","People afraid of leaving home/gathering",1
"Endemic","No staff available",9
"In-progress","No staff available",5
"Rabies-free","No staff available",1
"Endemic","Increased cost of organizing",7
"In-progress","Increased cost of organizing",3
"Endemic","No consumables available",4
"In-progress","No consumables available",2
