"endemic_status","grouped_response","n"
"Endemic","People feared COVID-19 in clinics",18
"In-progress","People feared COVID-19 in clinics",4
"Endemic","People delayed going to clinics",15
"In-progress","People delayed going to clinics",4
"Endemic","People could not use public transportation",12
"In-progress","People could not use public transportation",2
"Endemic","People could not afford travel",10
"In-progress","People could not afford travel",2
"Endemic","People interrupted the vaccination schedule",12
"Endemic","People relied on local remedies/healers",6
"Endemic","People used toll-free numbers/telemedicine",1
"In-progress","People used toll-free numbers/telemedicine",1
