"endemic_status","question","n"
"Endemic","More free-roaming dogs",27
"In-progress","More free-roaming dogs",4
"Rabies-free","More free-roaming dogs",1
"Endemic","Dogs in poorer health/starving",25
"In-progress","Dogs in poorer health/starving",4
"Rabies-free","Dogs in poorer health/starving",0
"Endemic","Fewer free-roaming dogs",10
"In-progress","Fewer free-roaming dogs",5
"Rabies-free","Fewer free-roaming dogs",0
"Endemic","Dogs more aggressive",12
"In-progress","Dogs more aggressive",1
"Rabies-free","Dogs more aggressive",0
